item,name,description,type,category,subcategory,text,label
http://www.wikidata.org/entity/Q2088191,philosopher king,"king who rules through love and knowledge, as described by Plato",concept,philosophy and religion,philosopher,"The philosopher king is a hypothetical ruler in whom political skill is combined with philosophical knowledge. The concept of a city-state ruled by philosophers is first explored in Plato's Republic, written around 375 BC. Plato argued that the ideal state – one which ensured the maximum possible happiness for all its citizens – could only be brought into being by a ruler possessed of absolute knowledge, obtained through philosophical study. From the Middle Ages onwards, Islamic and Jewish authors expanded on the theory, adapting it to suit their own conceptions of the perfect ruler.
Several historical figures, including Marcus Aurelius and Ashoka the Great, have been described by ancient and modern writers as embodying the philosopher king ideal.


== In the Republic ==
The Republic is a Socratic dialogue. In the first two books, Socrates is challenged to give a definition of justice, which he proposes to accomplish by imagining how an ideal city-state would function. He suggests that",cultural exclusive
http://www.wikidata.org/entity/Q15003,escalator,moving staircase,concept,transportation,mode of transport,"An escalator is a moving staircase which carries people between floors of a building or structure. It consists of a motor-driven chain of individually linked steps on a track which cycle on a pair of tracks which keep the step tread horizontal.
Escalators are often used around the world in places where lifts would be impractical, or they can be used in conjunction with them. Principal areas of usage include department stores, shopping malls, airports, transit systems (railway/railroad stations), convention centers, hotels, arenas, stadiums and public buildings.
Escalators have the capacity to move large numbers of people. They have no waiting interval (except during very heavy traffic). They can be used to guide people toward main exits or special exhibits and may be weatherproofed for outdoor use. A non-functional escalator can function as a normal staircase, whereas many other methods of transport become useless when they break down or lose power.


== History ==


=== Inventors and ",cultural agnostic
http://www.wikidata.org/entity/Q510548,Tour Méditerranéen,recurring sporting event,named entity,sports,recurring sporting event,"La Méditerranéenne, previously known as Tour Méditerranéen, was a professional road bicycle racing event held in Spain, France and Italy, close to the Mediterranean. Run over four days, it holds a 2.1 rating on the UCI Europe Tour.
The event is part of a series of stage races being held in the south of France in February, alongside the Étoile de Bessèges, the Tour du Haut Var and the Tour La Provence. These early-season races are competed mainly by French teams and are considered preparations for Paris–Nice, the first European World Tour event in March.


== History ==
The Tour Méditerranéen (""Tour of the Mediterranean Sea"") was created by former Tour de France winner Lucien Aimar in 1974. The event was named Trophée Méditerranéen for its first four editions. Run in February, the five-day stage race was won by several eminent riders, including Eddy Merckx, Gianni Bugno, Tony Rominger, Laurent Jalabert and  Paolo Bettini. Gerrie Knetemann holds the record with three victories.
In 2012 l",cultural representative
http://www.wikidata.org/entity/Q672556,Boxer Protocol,"Diplomatic protocol, final agreement between China and eleven countries on compensation for the 1900 riots",named entity,Books,book,"The Boxer Protocol was a diplomatic protocol signed in China's capital Beijing on September 7, 1901, between the Qing Empire of China and the Eight-Nation Alliance that had provided military forces (including France, Germany, United Kingdom, Italy, Austria-Hungary, Japan, Russia, and the United States) as well as Belgium, Spain, and the Netherlands, after China's defeat in the intervention to put down the Boxer Rebellion. The protocol is regarded as one of China's unequal treaties.


== Name ==
The 1901 protocol is commonly known as the Boxer Protocol or Peace Agreement between the Great Powers and China in English. It is known as the Xinchou Treaty: 16  or Beijing protocol in Chinese, where ""Xinchou"" refers to the year (1901) of signature under the sexagenary cycle system. The full English name of the protocol is Austria-Hungary, Belgium, France, Germany, Great Britain, Italy, Japan, Netherlands, Russia, Spain, United States and China – Final Protocol for the Settlement of the Disturb",cultural representative
http://www.wikidata.org/entity/Q738377,student newspaper,newspaper or periodical run by students,named entity,media,magazine,"A student publication is a media outlet such as a newspaper, magazine, television show, or radio station produced by students at an educational institution. These publications typically cover local and school-related news, but they may also report on national or international news as well. Most student publications are either part of a curricular class or run as an extracurricular activity.
Student publications serve as both a platform for community discussion and a place for those interested in journalism to develop their skills. These publications report news, publish opinions of students and faculty, and may run advertisements catered to the student body. Besides these purposes, student publications also serve as a watchdog to uncover problems at the respective institution. The majority of student publications are funded through their educational institution. Some funds may be generated through sales and advertisements, but the majority usually comes from the school itself. Because ",cultural agnostic
http://www.wikidata.org/entity/Q170980,obelisk,"tall, four-sided, narrow tapering monument which ends in a pyramid-like shape at the top",concept,History,monument,"An obelisk (; from Ancient Greek  ὀβελίσκος (obelískos), diminutive of ὀβελός (obelós) ' spit, nail, pointed pillar') is a tall, slender, tapered monument with four sides and a pyramidal or pyramidion top. Originally constructed by Ancient Egyptians and called tekhenu, the Greeks used the Greek term obeliskos to describe them, and this word passed into Latin and ultimately English. Though William Thomas used the term correctly in his Historie of Italie of 1549, by the late sixteenth century (after reduced contact with Italy following the excommunication of Queen Elizabeth), Shakespeare failed to distinguish between pyramids and obelisks in his plays and sonnets. Ancient obelisks are monolithic and consist of a single stone; most modern obelisks are made of several stones.


== Ancient obelisks ==


=== Egyptian ===

Obelisks were prominent in the architecture of the ancient Egyptians, and played a vital role in their religion placing them in pairs at the entrance of the temples. The wo",cultural exclusive
http://www.wikidata.org/entity/Q242791,Kyokushin kaikan,full contact karate organization founded by Masutatsu Ōyama,named entity,sports,sports team,"Kyokushin (極真) is a style of karate originating in Japan. It is a full-contact style of stand-up fighting and is rooted in a philosophy of self-improvement, discipline, and hard training.
Kyokushin Kaikan is the martial arts organization founded in 1964 by Korean-Japanese Masutatsu Oyama (大山倍達, Ōyama Masutatsu), officially the International Karate Organization. Previously, this institution was known as the Oyama Dojo. Since 1964, the style has continued to spread to more than 120 countries, becoming one of the largest martial arts organizations in the world, and in Japan itself.


== History ==


=== Founding ===

Initially, Masutatsu Oyama opened his first official dōjō - the Oyama Dojo - in 1953, in a small building behind Rikkyo University to teach Goju-ryu style of traditional Karate. Subsequently, Oyama's Karate theory would deviate from Goju-ryu and would form his own style. His instruction was distinguished by goals improving the strength in the actual battle by performing a kum",cultural representative
http://www.wikidata.org/entity/Q159488,anti-tobacco movement in Nazi Germany,overview about the anti-tobacco movement in Nazi Germany,concept,politics,policy,"In the early 20th century, German researchers found additional evidence linking smoking to health harms, which strengthened the anti-tobacco movement in the Weimar Republic and led to a state-supported anti-smoking campaign. Early anti-tobacco movements grew in many nations from the middle of the 19th century. The 1933–1945 anti-tobacco campaigns in Nazi Germany have been widely publicized, although stronger laws than those passed in Germany were passed in some American states, the UK, and elsewhere between 1890 and 1930. After 1941, anti-tobacco campaigns were restricted by the Nazi government.
The German movement was the most powerful anti-smoking movement in the world during the 1930s and early 1940s. However, tobacco control policy was incoherent and ineffective, with uncoordinated and often regional efforts by many actors. Obvious measures were not taken, and existing measures were not enforced. Some Nazi leaders condemned smoking and several of them openly criticized tobacco cons",cultural exclusive
http://www.wikidata.org/entity/Q5409,Peire Rogier,French troubadour,named entity,Literature,poet,"Peire Rogier (born c. 1145) was a twelfth-century Auvergnat troubadour (fl. 1160 – 1180) and cathedral canon from Clermont. He left his cathedral to become a travelling minstrel before settling down for a time in Narbonne at the court of Viscountess Ermengard. His life and career are known because his late thirteenth-century vida survives, as well as some of his works. The reliability of his vida, upon which all the details of his goings and comings are known, however, is not complete. According to it, he left the religious life to become a jongleur.
He fell in love with his hostess and patron and wrote many songs in her honour, giving Ermengard the nickname Tort-n'avetz (""You are wrong""), but for what reasons is unknown. Eventually the people of the Narbonnaise believed that he was in a sexual relationship with the viscountess and so she asked him to leave. He moved on to the court of Raimbaut d'Aurenga, where he also remained for a long time. From Raimbaut's court he moved on to sojo",cultural exclusive
http://www.wikidata.org/entity/Q748822,private press,publishing and printing operation operated as an artistic or craft-based endeavor,concept,Literature,publisher,"Private press publishing, with respect to books, is an endeavor performed by craft-based expert or aspiring artisans, either amateur or professional, who, among other things, print and build books, typically by hand, with emphasis on design, graphics, layout, fine printing, binding, covers, paper, stitching, and the like.


== Description ==
The term ""private press"" is not synonymous with ""fine press"", ""small press"", or ""university press"" – though there are similarities. One similarity shared by all is that they need not meet higher commercial thresholds of commercial presses.  Private presses, however, often have no profit motive.  A similarity shared with fine and small presses, but not university presses, is that for various reasons – namely quality – production quantity is often limited. University presses are typically more automated. A distinguishing quality of private presses is that they enjoy sole discretion over literary, scientific, artistic, and aesthetic merits. Criteria f",cultural agnostic
